Item.Number,tol_profit,botl_profit,State.Bottle.Cost
3347,0.00164575,7.25,14.5
901851,0.0016419599999999996,6.515714285714283,13.025
46053,0.00164,20,40
39871,0.0016396100000000003,4.130000000000001,8.25
103110,0.001638,7,14
902877,0.0016367399999999998,12.989999999999998,25.98
39394,0.0016335,5.5,11
78016,0.0016325,1.25,2.5
966580,0.00163212,4.6899999999999995,9.38
43482,0.0016313500000000004,4.130000000000001,8.25
100746,0.0016281099999999999,7.789999999999999,15.57
33642,0.0016280999999999997,2.6999999999999993,5.4
965011,0.00162516,9.34,18.67
921806,0.0016235,4.25,8.5
904122,0.0016200000000000006,45.000000000000014,89.99
903455,0.00162,9,18
69064,0.00162,2.5,5
89320,0.0016153799999999996,14.169999999999998,28.34
902576,0.0016074000000000001,7.050000000000001,14.09
100236,0.0016065,6.75,13.5
43275,0.001606,2.75,5.5
64919,0.0016051499999999996,13.049999999999997,26.1
977367,0.0016020000000000006,5.340000000000002,10.67
72972,0.0016016,7.699999999999999,15.39
953814,0.0016008000000000003,6.670000000000002,13.34
101422,0.0016,10,20
39460,0.0015985000000000005,2.3000000000000007,4.6
902446,0.00159324,31.240000000000002,62.48
72955,0.0015931799999999998,3.34,6.67
915913,0.0015925,8.75,17.5
904777,0.0015862720000000003,3.4786666666666672,6.954666666666666
75204,0.001585,5,10
80421,0.0015825599999999998,2.5199999999999996,5.04
67219,0.0015799999999999996,12.639999999999997,25.27
100489,0.0015789600000000001,12.239999999999998,24.48
921605,0.001575,17.5,35
73864,0.001573,3.25,6.5
994785,0.001570803571428571,21.51785714285714,43.027857142857144
100706,0.00156975,5.25,10.5
37105,0.0015697499999999997,8.969999999999999,17.94
5319,0.0015674999999999994,27.499999999999993,54.99
88148,0.001564620689655172,6.386206896551723,12.77241379310345
951549,0.0015607799999999995,13.339999999999996,26.67
904940,0.0015590400000000003,32.480000000000004,64.96
64543,0.001558,9.5,19
88549,0.0015561,3.1499999999999995,6.29
905028,0.00155508,51.836,103.66799999999999
916492,0.001554,18.5,37
65151,0.001554,5.25,10.5
37364,0.0015531999999999996,2.1999999999999993,4.4
39939,0.0015514399999999999,4.51,9.01
904921,0.001551,11.75,23.5
16835,0.00155,10,20
78007,0.0015475200000000001,2.4800000000000004,4.96
39476,0.00154675,2.6900000000000004,5.38
63753,0.001545,3,6
904285,0.0015443999999999996,4.289999999999999,8.57
101446,0.0015420699999999998,7.989999999999998,15.98
918384,0.0015405599999999996,18.339999999999996,36.67
27165,0.0015375,20.5,41
937180,0.0015359999999999996,3.1999999999999993,6.4
989234,0.00153,7.5,15
101043,0.00153,2.55,5.09
921248,0.0015295,9.5,19
63691,0.00152575,4.25,8.5
916032,0.0015227999999999995,16.919999999999995,33.84
915643,0.0015216300000000002,17.490000000000002,34.98
38638,0.0015215,8.5,17
43565,0.0015209600000000002,3.880000000000001,7.75
982756,0.0015192248275862073,3.2462068965517252,6.488620689655172
919220,0.0015173076923076924,10.115384615384617,20.23076923076923
942392,0.00151308,4.67,9.33
43349,0.0015096,2.4000000000000004,4.8
86907,0.0015065,5.75,11.5
37203,0.0015032800000000005,34.96000000000001,69.91
28195,0.0015014999999999994,5.499999999999998,10.99
951121,0.0015008800000000004,5.840000000000002,11.67
990621,0.0015,50,100
917943,0.0015,25,50
987388,0.0015,20,40
928002,0.0015,15,30
17022,0.0015,12.5,25
926997,0.0015,12.5,25
26299,0.0015,10,20
37277,0.001496,8.5,17
26162,0.001495,2.5,5
901435,0.0014942399999999998,31.129999999999995,62.25
